state,area,pincode
Assam,2 No Bokanala,787032
Assam,Adarsha Deurigaon,785676
Assam,Adi Alengi Satra,787054
Assam,Aghunibari,786613
Assam,Ahomoni,787052
Assam,Akajan Bormuria,787059
Assam,Aktai,787110
Assam,Alimur,786101
Assam,Amtola Jaintpur,787052
Assam,Anandapara,786692
Assam,Angerkhowa,787031
Assam,Aradhal,787057
Assam,Arimora Tiniali,784165
Assam,Ashabam,786621
Assam,Assam Medical College,786002
Assam,Azad,787031
Assam,Bachapathar,786101
Assam,Badati,784161
Assam,Badhakhara,787032
Assam,Bahadurchuk,787031
Assam,Bahgora Deurigaon,784161
Assam,Bahpara,787055
Assam,Bairagimath,786003
Assam,Baji Pohumara,786613
Assam,Balai Nagaon,785676
Assam,Balaibari,786007
Assam,Baligaon,785676
Assam,Balijan North Te,786184
Assam,Balimora,786610
Assam,Bam Kolakhowa,786007
Assam,Bamunbari,786613
Assam,Bamunibill,786610
Assam,Banipur,786003
Assam,Barbali,784163
Assam,Barbam,786611
Assam,Barbaruah,786007
Assam,Barkhamukh,787055
Assam,Barpathar,786004
Assam,Barpathar Gaon,785676
Assam,Batamari Tiniali,787053
Assam,Batgharia,787057
Assam,Batuamukh,787110
Assam,Bauli,787057
Assam,Begumgaon,787055
Assam,Behating Tiniali,786004
Assam,Bengenagarah,787058
Assam,Betanipam,787059
Assam,Bhadoi Pachali,786191
Assam,Bhagwan,787059
Assam,Bhajoni,786103
Assam,Bhatowkuchi,784165
Assam,Bhebeli Gaon,787110
Assam,Bhimpara Balijan,787032
Assam,Bhogamurgaon,785676
Assam,Bhogpur Chariali,787033
Assam,Bholabari,787033
Assam,Bhurburi,786003
Assam,Bihupuria,784161
Assam,Bilmukh,787053
Assam,Bishnupur,787057
Assam,Bismile,786184
Assam,Bogadat,786612
Assam,Bogibil,786004
Assam,Boginadi,787032
Assam,Bogolijan,787031
Assam,Bokul,786010
Assam,Bokulguri,787055
Assam,Bokuloni Chariali,786191
Assam,Bongalchuk,787023
Assam,Bonpuroi,784165
Assam,Bor Alengi Satra,787054
Assam,Borabhayapuri,786103
Assam,Borachira Gaon,787057
Assam,Borbamgaon,786610
Assam,Bordeurigaon,784164
Assam,Bordoibam,787053
Assam,Bordoloni,787026
Assam,Borgaya Khagori,787031
Assam,Borkhelia,787032
Assam,Borkhermia,786621
Assam,Borlung,787057
Assam,Bormuriachuk,787031
